Type,x,y,z,vel
pos,0,0,-3,1
pos,78,0,-3,7
pos,126,0,-3,7
yaw,-90,,,
pos,126,-126,-3,7
yaw,-180,,,
pos,0,-126,-3,7
pos,-126,-126,-3,7
yaw,-270,,,
pos,-126,0,-3,7
pos,-126,126,-3,7
yaw,0,,,
pos,0,126,-3,7
pos,126,126,-3,7
yaw,-90,,,
pos,126,0,-3,7
yaw,-180,,,
pos,0,0,-3,7
